Property_Type,Property_Area,Number_of_Doors,Power_Backup,Water_Supply,Traffic_Density_Score,Air_Quality_Index,Neighborhood_Review,Habitability_score,Number_of_Windows,Furnishing,Frequency_of_Powercuts,Crime_Rate,Dust_and_Noise
1.0,106,1,1.0,3.0,5.89,90.0,3.86,71.98,1.0,1.0,0.0,1.0,2.0
1.0,733,2,1.0,2.0,4.37,96.0,3.55,71.2,2.0,2.0,1.0,3.0,2.0
1.0,737,2,1.0,3.0,7.45,121.0,3.81,71.39,4.0,0.0,0.0,1.0,2.0
1.0,900,2,2.0,3.0,6.16,100.0,1.34,31.46,3.0,2.0,2.0,2.0,2.0
2.0,2238,6,1.0,0.0,5.46,116.0,4.77,93.7,14.0,0.0,0.0,3.0,2.0
5.0,1185,3,1.0,3.0,5.69,91.0,4.49,82.94,3.0,2.0,0.0,3.0,2.0
5.0,1779,3,1.0,2.0,7.43,100.0,2.9,74.88,3.0,1.0,0.0,0.0,2.0
4.0,1281,2,1.0,0.0,7.72,143.0,0.96,28.54,5.0,1.0,3.0,2.0,2.0
1.0,268,3,1.0,0.0,6.13,94.0,4.17,88.11,1.0,1.0,1.0,2.0,2.0
1.0,159,2,2.0,3.0,6.77,90.0,4.48,80.65,2.0,1.0,0.0,3.0,2.0
1.0,521,2,1.0,0.0,4.14,89.0,4.82,73.51,1.0,1.0,0.0,3.0,2.0
2.0,2164,4,1.0,2.0,6.09,105.0,3.53,87.91,13.0,1.0,1.0,3.0,2.0
5.0,1620,4,1.0,0.0,6.08,143.0,4.74,76.86,3.0,1.0,0.0,3.0,2.0
5.0,1359,1,1.0,3.0,6.96,84.0,4.49,71.31,7.0,1.0,0.0,3.0,2.0
1.0,416,1,2.0,2.0,6.99,117.0,4.14,72.35,3.0,2.0,0.0,3.0,2.0
1.0,795,1,1.0,1.0,6.92,169.0,4.07,79.82,1.0,0.0,0.0,3.0,2.0
1.0,508,1,1.0,0.0,6.41,131.0,4.12,72.19,2.0,2.0,0.0,1.0,2.0
4.0,436,1,1.0,3.0,6.7,102.0,2.59,83.68,5.0,0.0,0.0,2.0,2.0
5.0,1735,3,2.0,2.0,6.47,164.0,2.82,77.28,5.0,2.0,0.0,0.0,2.0
1.0,497,3,1.0,4.0,5.74,103.0,1.96,73.46,1.0,0.0,2.0,1.0,2.0
5.0,1553,2,1.0,0.0,4.33,83.0,4.19,89.95,2.0,1.0,0.0,1.0,2.0
1.0,781,2,1.0,0.0,6.51,101.0,4.79,84.58,4.0,0.0,0.0,3.0,2.0
4.0,941,3,1.0,3.0,5.19,100.0,4.48,81.38,5.0,2.0,0.0,3.0,2.0
1.0,441,1,1.0,0.0,6.74,112.0,4.77,85.51,2.0,0.0,0.0,3.0,2.0
2.0,4161,3,0.0,0.0,7.83,156.0,4.71,75.63,6.0,1.0,0.0,3.0,2.0
5.0,1150,2,1.0,4.0,7.01,97.0,3.16,64.38,2.0,1.0,0.0,1.0,0.0
1.0,770,2,1.0,0.0,4.22,103.0,2.91,29.97,1.0,2.0,1.0,0.0,2.0
0.0,990,3,1.0,0.0,3.6,27.0,4.96,78.07,7.0,1.0,0.0,3.0,1.0
2.0,1809,5,1.0,0.0,8.31,133.0,4.67,80.07,9.0,2.0,0.0,3.0,0.0
2.0,2008,5,1.0,0.0,8.42,190.0,2.09,22.32,15.0,2.0,2.0,0.0,0.0
2.0,3799,4,1.0,4.0,4.3,84.0,1.37,35.45,9.0,1.0,3.0,1.0,2.0
1.0,910,2,2.0,3.0,7.45,156.0,4.4,80.14,2.0,1.0,0.0,3.0,2.0
5.0,1476,2,1.0,0.0,7.05,140.0,4.11,79.99,5.0,2.0,1.0,3.0,2.0
4.0,11813,3,1.0,2.0,7.29,127.0,4.12,80.55,5.0,1.0,0.0,2.0,2.0
1.0,886,2,1.0,0.0,7.27,112.0,4.14,85.08,2.0,1.0,1.0,3.0,2.0
1.0,358,3,1.0,4.0,7.56,148.0,3.78,73.99,3.0,0.0,0.0,3.0,2.0
5.0,1143,1,1.0,3.0,7.09,133.0,3.8,72.34,2.0,1.0,0.0,3.0,2.0
1.0,404,1,1.0,1.0,6.29,93.0,4.17,83.13,1.0,1.0,1.0,3.0,2.0
2.0,2912,2,1.0,2.0,6.33,133.0,2.24,62.91,15.0,1.0,0.0,2.0,2.0
1.0,190,1,1.0,3.0,7.83,132.0,3.8,82.12,3.0,1.0,1.0,3.0,2.0
5.0,1622,1,1.0,0.0,8.3,161.0,4.01,83.17,3.0,1.0,0.0,1.0,0.0
1.0,247,2,1.0,3.0,6.02,83.0,3.24,48.46,1.0,2.0,2.0,3.0,2.0
3.0,264,2,2.0,2.0,6.29,117.0,4.14,78.87,2.0,2.0,0.0,3.0,2.0
1.0,423,3,2.0,3.0,5.32,109.0,3.78,68.69,3.0,1.0,0.0,1.0,0.0
5.0,1304,2,1.0,0.0,4.77,110.0,4.16,83.38,5.0,0.0,0.0,1.0,2.0
1.0,508,2,1.0,0.0,5.83,98.0,4.17,86.66,4.0,1.0,0.0,1.0,2.0
4.0,497,3,2.0,3.0,4.9,115.0,3.21,85.05,7.0,0.0,1.0,1.0,2.0
1.0,106,1,1.0,0.0,7.1,91.0,3.54,88.65,1.0,0.0,0.0,0.0,2.0
2.0,3493,2,1.0,2.0,6.71,130.0,4.12,82.66,4.0,2.0,0.0,3.0,2.0
3.0,423,1,1.0,1.0,5.1,114.0,3.52,71.7,0.0,1.0,1.0,3.0,2.0
4.0,691,2,1.0,0.0,5.02,113.0,4.78,69.0,6.0,2.0,0.0,3.0,2.0
1.0,451,1,1.0,0.0,5.84,84.0,3.56,68.34,4.0,2.0,1.0,1.0,2.0
1.0,482,1,2.0,0.0,6.17,101.0,4.79,82.88,3.0,1.0,0.0,3.0,2.0
5.0,1418,4,2.0,0.0,6.08,161.0,4.71,87.57,4.0,1.0,0.0,3.0,2.0
1.0,217,1,1.0,3.0,6.82,115.0,3.82,72.43,1.0,1.0,1.0,3.0,2.0
2.0,2943,3,1.0,2.0,6.6,130.0,2.87,70.64,11.0,0.0,1.0,1.0,2.0
5.0,1123,4,1.0,3.0,3.08,94.0,3.31,79.28,3.0,0.0,1.0,1.0,1.0
4.0,683,3,1.0,0.0,6.61,131.0,4.75,84.99,6.0,0.0,0.0,3.0,2.0
5.0,2033,2,1.0,0.0,5.92,120.0,4.77,84.75,3.0,0.0,0.0,3.0,2.0
3.0,200,1,1.0,0.0,6.22,164.0,4.08,73.57,2.0,0.0,0.0,1.0,2.0
1.0,362,3,1.0,0.0,3.81,82.0,4.26,68.04,4.0,1.0,1.0,3.0,1.0
3.0,225,2,1.0,3.0,6.76,112.0,3.83,67.17,3.0,2.0,1.0,3.0,2.0
5.0,1749,1,1.0,3.0,5.92,103.0,3.22,73.67,4.0,0.0,1.0,1.0,2.0
2.0,2933,6,1.0,4.0,8.46,125.0,3.74,71.37,12.0,2.0,0.0,3.0,0.0
1.0,242,2,2.0,0.0,5.78,108.0,4.78,83.08,4.0,1.0,0.0,3.0,2.0
5.0,1688,3,2.0,1.0,6.17,97.0,3.22,70.64,5.0,1.0,0.0,1.0,2.0
1.0,904,1,2.0,2.0,7.12,91.0,2.28,40.07,1.0,2.0,0.0,2.0,2.0
1.0,168,2,1.0,2.0,6.08,105.0,4.16,71.26,1.0,1.0,0.0,3.0,2.0
1.0,277,2,2.0,0.0,5.59,119.0,3.51,91.24,1.0,1.0,0.0,0.0,2.0
1.0,958,3,2.0,3.0,5.98,81.0,3.87,74.1,1.0,1.0,0.0,1.0,2.0
5.0,1591,4,1.0,3.0,7.23,97.0,3.84,91.17,3.0,1.0,1.0,3.0,2.0
1.0,538,2,2.0,0.0,4.79,98.0,4.17,76.81,4.0,1.0,0.0,1.0,2.0
1.0,191,2,1.0,2.0,7.0,158.0,4.08,79.4,2.0,1.0,0.0,3.0,2.0
1.0,781,1,2.0,0.0,7.65,149.0,3.46,77.35,1.0,2.0,0.0,0.0,2.0
0.0,2185,1,1.0,0.0,6.24,100.0,3.53,68.57,4.0,2.0,2.0,3.0,2.0
3.0,462,1,2.0,0.0,8.27,177.0,3.99,71.42,0.0,1.0,0.0,1.0,0.0
1.0,692,3,1.0,4.0,7.51,144.0,1.9,45.64,1.0,1.0,2.0,2.0,2.0
